freq,c0,c1,c2,c3,c4,c5,cNCCZ,cEBGZ,cCBGZ
3.9811e+00,-1.3000e+00,-1.7288e-03,-1.4889e+00,-6.9614e-04,7.8277e-01,-7.1527e+00,-1.4875e-01,2.3108e-01,4.0125e-01
4.1687e+00,-1.3000e+00,-1.7258e-03,-1.5185e+00,-6.9529e-04,7.7465e-01,-7.1509e+00,-1.6012e-01,2.3650e-01,4.0467e-01
4.3652e+00,-1.3000e+00,-1.7099e-03,-1.5533e+00,-6.8766e-04,7.6773e-01,-7.1525e+00,-1.7011e-01,2.4218e-01,4.0813e-01
4.5709e+00,-1.3000e+00,-1.6994e-03,-1.5841e+00,-6.8215e-04,7.6069e-01,-7.1536e+00,-1.7429e-01,2.4504e-01,4.1145e-01
4.7863e+00,-1.3000e+00,-1.6945e-03,-1.6118e+00,-6.7957e-04,7.5246e-01,-7.1512e+00,-1.7555e-01,2.5019e-01,4.1610e-01
5.0119e+00,-1.3000e+00,-1.6977e-03,-1.6431e+00,-6.7245e-04,7.4451e-01,-7.1502e+00,-1.7748e-01,2.5577e-01,4.2061e-01
5.2481e+00,-1.3000e+00,-1.6771e-03,-1.6684e+00,-6.6857e-04,7.3610e-01,-7.1483e+00,-1.8202e-01,2.5972e-01,4.2430e-01
5.4954e+00,-1.3000e+00,-1.6609e-03,-1.6897e+00,-6.6842e-04,7.2808e-01,-7.1491e+00,-1.8322e-01,2.6565e-01,4.2832e-01
5.7544e+00,-1.3000e+00,-1.6472e-03,-1.7087e+00,-6.6785e-04,7.1903e-01,-7.1457e+00,-1.7716e-01,2.7311e-01,4.3219e-01
6.0256e+00,-1.3000e+00,-1.6362e-03,-1.7249e+00,-6.6661e-04,7.1026e-01,-7.1431e+00,-1.7431e-01,2.8054e-01,4.3634e-01
6.3096e+00,-1.3000e+00,-1.6222e-03,-1.7319e+00,-6.7143e-04,7.0169e-01,-7.1406e+00,-1.7522e-01,2.8610e-01,4.4120e-01
6.6069e+00,-1.3000e+00,-1.5628e-03,-1.7144e+00,-7.0025e-04,6.9068e-01,-7.1347e+00,-1.6836e-01,2.9058e-01,4.4510e-01
6.9183e+00,-1.3000e+00,-1.5160e-03,-1.6865e+00,-7.3691e-04,6.8006e-01,-7.1287e+00,-1.7166e-01,2.9279e-01,4.5069e-01
7.2444e+00,-1.3000e+00,-1.4991e-03,-1.6635e+00,-7.6424e-04,6.7041e-01,-7.1241e+00,-1.7312e-01,2.9009e-01,4.5235e-01
7.5858e+00,-1.3000e+00,-1.5122e-03,-1.6537e+00,-7.7789e-04,6.6049e-01,-7.1163e+00,-1.9101e-01,2.8437e-01,4.5109e-01
7.9433e+00,-1.3000e+00,-1.5228e-03,-1.6494e+00,-7.8443e-04,6.5098e-01,-7.1072e+00,-2.1619e-01,2.7375e-01,4.4414e-01
8.3176e+00,-1.3000e+00,-1.5541e-03,-1.6544e+00,-7.7422e-04,6.4395e-01,-7.1080e+00,-2.4239e-01,2.5859e-01,4.3365e-01
8.7096e+00,-1.3000e+00,-1.6174e-03,-1.6589e+00,-7.6209e-04,6.3764e-01,-7.1093e+00,-2.7367e-01,2.3811e-01,4.1839e-01
9.1201e+00,-1.3000e+00,-1.6867e-03,-1.6553e+00,-7.4744e-04,6.3035e-01,-7.1043e+00,-3.0518e-01,2.1607e-01,4.0030e-01
