# Columns: ZIP/Location,CDI,No. of responses,Epicentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(55H 043 596 10000)",2.2,1,198,-36.4581,146.2746,0,"UTM:(55H 043 596 10000)",""
"UTM:(55H 044 575 10000)",3.8,1,21,-38.3514,146.3705,0,"UTM:(55H 044 575 10000)",""
"UTM:(55H 044 576 10000)",4.7,2,18,-38.2614,146.3713,0,"UTM:(55H 044 576 10000)",""
"UTM:(55H 045 577 10000)",3.7,3,28,-38.1718,146.4862,0,"UTM:(55H 045 577 10000)",""
"UTM:(55H 048 600 10000)",3.4,147,244,-36.0995,146.8333,0,"UTM:(55H 048 600 10000)",""
"UTM:(55H 049 599 10000)",3.1,1,237,-36.1898,146.9443,0,"UTM:(55H 049 599 10000)",""
"UTM:(55H 049 600 10000)",3.2,60,247,-36.0996,146.9444,0,"UTM:(55H 049 600 10000)",""
"UTM:(55H 049 601 10000)",3.6,2,256,-36.0095,146.9445,0,"UTM:(55H 049 601 10000)",""
"UTM:(55H 050 578 10000)",4.0,149,78,-38.0828,147.0570,0,"UTM:(55H 050 578 10000)",""
"UTM:(55H 051 593 10000)",4.6,1,189,-36.7306,147.1680,0,"UTM:(55H 051 593 10000)",""
"UTM:(55H 053 581 10000)",2.7,1,116,-37.8118,147.3976,0,"UTM:(55H 053 581 10000)",""
"UTM:(55H 055 579 10000)",3.8,1,129,-37.9909,147.6264,0,"UTM:(55H 055 579 10000)",""
"UTM:(55H 055 581 10000)",3.8,162,134,-37.8107,147.6248,0,"UTM:(55H 055 581 10000)",""
"UTM:(55H 058 580 10000)",3.3,47,160,-37.8986,147.9667,0,"UTM:(55H 058 580 10000)",""
"UTM:(55H 061 609 10000)",3.4,2,377,-35.2815,148.2645,0,"UTM:(55H 061 609 10000)",""
"UTM:(55H 070 608 10000)",2.0,1,421,-35.3573,149.2561,0,"UTM:(55H 070 608 10000)",""
"UTM:(55H 075 591 10000)",3.1,1,357,-36.8765,149.8610,0,"UTM:(55H 075 591 10000)",""
"UTM:(55H 081 608 10000)",3.4,2,500,-35.3286,150.4652,0,"UTM:(55H 081 608 10000)",""
"UTM:(55H 085 618 10000)",2.0,4,596,-34.4155,150.8620,0,"UTM:(55H 085 618 10000)",""
"UTM:(55H 088 624 10000)",2.7,11,660,-33.8651,151.1610,0,"UTM:(55H 088 624 10000)",""
"UTM:(55H 109 719 10000)",2.7,34,1575,-25.2434,152.9013,0,"UTM:(55H 109 719 10000)",""
